Name;Category;Description;Price before tax;Tax Rule ID;Quantity;Image
Pokémon TCG: Deoxys VMAX & VSTAR Battle Box;Gry karciane/Pokémon/Boostery i Booster Boxy;"Pokémon TCG: Deoxys VMAX & VSTAR Battle Box zawiera:
-3 karty promo
-1 wielkofromatowa kartę
– 4 boostery
-1 akrylowy znacznik vstar
– kod do gry online";95.11;1;9;https://magiccafe.eu/wp-content/uploads/2023/06/0942724a2036141ca2822f6f441bf43e.jpg
Pokémon TCG: Temporal Forces Booster Box (18);Gry karciane/Pokémon/Boostery i Booster Boxy;"Pokémon TCG: Temporal Forces Booster Box (18)
Zawiera 18 boosterów Temporal Forces";203.24;1;3;https://magiccafe.eu/wp-content/uploads/2024/07/bdf06aca320c8f801bfaba53e5326a52.webp
Pokemon TCG:  Brilliant Stars Booster Pack;Gry karciane/Pokémon/Boostery i Booster Boxy;"Pokemon TCG: Brilliant Stars Booster
Zawiera:
10 kart oraz kartę do gry Pokemon TCG online";16.25;1;1;https://magiccafe.eu/wp-content/uploads/2023/11/6cb902d7a29b6f6d28e4230d23f09970-1200x912.jpg
Pokémon TCG: Paldea Pin Box Quaxly;Gry karciane/Pokémon/Boostery i Booster Boxy;"Wyrusz w przygodę po nowym regionie Paldea!
Jak w każdym regionie, tutaj również możesz wybrać swojego startowego przyjaciela.
Ten zestaw idealnie wprowadzi Cię w nowe przygody i pozwoli skorzystać z mocy nowych Pokémonów.
Wybierz pasujący do Ciebie typ i ruszaj w przygodę !
Jeden produkt zawiera:
3 karty promo
1 losowa karta oversize Koraidon lub Miraidon
4 boostery
przypinka
kod do gry online";73.09;1;4;https://magiccafe.eu/wp-content/uploads/2023/06/94b2fa8746a0d31f921f4230e083ae58.png
Pokémon TCG: Zeraora VMAX & VSTAR Battle Box;Gry karciane/Pokémon/Boostery i Booster Boxy;"Dodaj moc swoim Pokémonom V !
W tym zestawie znajdziesz karty V, VMAX oraz VSTAR!
Ulepsz swoje talie o potężne karty.
Jeden produkt zawiera:
-3 karty promo
-1 wielkofromatowa kartę
-4 boostery
-1 akrylowy znacznik vstar
-kod do gry online";105.68;1;8;https://magiccafe.eu/wp-content/uploads/2023/06/e2e4f878a27ae8100c745e6e5f19a829-1200x1017.jpg
Pokémon TCG: Scarlet & Violet Obsidian Flames Elite Trainer Box;Gry karciane/Pokémon/Boostery i Booster Boxy;"Planowana premiera: 11 sierpnia 2023 r.
Rozgrzany w pełni ogień rozjaśni najciemniejszą noc.
Mały ogień zapłonie w pełni razem z Charizard Ex! Nową formę Terastal otrzymają Tyranitar, Eiscue i Vespiquen, a z nią otrzymają potężne moce, które pozwolą im wygrywać kolejne bitwy. Typ Ex otrzyma również Dragonite, Greedent, Revavroom, Melmetal i wiele innych!
Te nowe potężne pokemony i wiele innych znajdziesz w kolejnym dodatku Pokémon TCG: Scarlet & Violet – Obsidian Flames!
Kolejna seria to:
Ponad 190 nowych kart
Kryształowy Tera Pokémon ex (w tym Charizard ex)
20 nowych Pokémon EX z nową mechaniką
Ponad 15 kart trenerów
Dziesiątki nowych kart ze wspaniałymi grafikami
Zawartość:
9x Pokémon TCG: Scarlet & Violet – Obsidian Flames – Booster
karta full-art foil
65 koszulek
45 kart Energy
przewodnik po dodatku
kości
znaczniki i żetony
pudełko z przedkładkami
kod do gry online";150.24;1;4;https://magiccafe.eu/wp-content/uploads/2023/06/93ef055bb163ba5abf9cc10a96ef6e5c-1200x1144.jpg
Pokémon TCG: Paldea Evolved: Varoom 3-Pack Blister;Gry karciane/Pokémon;"Pokemon TCG: Paldea Evolved 3-pack Blister Varoom
Energia rośnie, budzą się nowe moce, niespodziewanie ukazują się niebezpieczne legendarne Pokemony!
Meowscarada ex, Skeledirge ex i Quaquaval ex ewoluują, aby pojawić się na scenie z fascynującą magią, śpiewem i tańcem. Tymczasem Forretress, Slowking i Dedenne błyszczą jak Tera Pokémon ex, a Chien-Pao ex, Ting-Lu ex i inni ujawniają onieśmielające siły trudne do obłaskawienia i dowodzenia. Nawet Pikachu dołączy do imprezy w dodatku Pokémon: Paldea Evolved!
Zawartość zestawu:
1x karta promo Varoom
3x booster Scarlet & Violet: Paldea Evolved
1x moneta
1x kod do gry Pokémon TCG Live";38.2;1;0;https://magiccafe.eu/wp-content/uploads/2023/07/9cc3b0ce1728a2c3799f55772afc24a0.png
Pokémon TCG: Paldean Fates Mini Tin Maushold;Gry karciane/Pokémon;"PREMIERA 09.02.2024 DATA MOŻE ULEC ZMIANIE
Pokémon TCG: Paldean Fates Mini Tin Maushold
Światło reflektorów pada na błyszczące Pokémony powracające do Pokémon TCG! Shiny Pikachu, Tinkaton, Ceruledge, Dondozo i ponad 100 innych wyjątkowych Pokémonów. Great Tusk i Iron Treads pojawią się jako wersje Ancient i Future ex. Dodatkowo Charizard, Forretress i Esparha popiszą się swoimi unikatowymi umiejętnościami jako Shiny Pokémon. Te i wiele więcej niespodzianek czeka na ciebie w najnowszym dodatku Scarlet & Violet—Paldean Fates!
Zawartość:
2x boostery
1x naklejka
1x kartę art z grafiką z puszki";28.86;1;1;https://magiccafe.eu/wp-content/uploads/2024/01/b4fc4dffa1bdae41aba6b08b38b90338.png
Pokémon TCG: Grass Stacking Tin;Gry karciane/Pokémon;"Pokémon TCG: Grass Stacking Tin
Zawartośc:
1x Puszka
3x booster TCG
1x moneta";69.91;1;8;https://magiccafe.eu/wp-content/uploads/2023/09/a3372aa82d7c99cef243de1f6d685ccf.png
Pokémon TCG: Paldean Fates Mini Tin Flamigo;Gry karciane/Pokémon;"PREMIERA 09.02.2024 DATA MOŻE ULEC ZMIANIE
Pokémon TCG: Paldean Fates Mini Tin Flamigo
Światło reflektorów pada na błyszczące Pokémony powracające do Pokémon TCG! Shiny Pikachu, Tinkaton, Ceruledge, Dondozo i ponad 100 innych wyjątkowych Pokémonów. Great Tusk i Iron Treads pojawią się jako wersje Ancient i Future ex. Dodatkowo Charizard, Forretress i Esparha popiszą się swoimi unikatowymi umiejętnościami jako Shiny Pokémon. Te i wiele więcej niespodzianek czeka na ciebie w najnowszym dodatku Scarlet & Violet—Paldean Fates!
Zawartość:
2x boostery
1x naklejka
1x kartę art z grafiką z puszki";28.86;1;6;https://magiccafe.eu/wp-content/uploads/2024/01/9a87712447fc827d331268d7476c21f6.png
Pokemon TCG Paldean Fates Premium Collection Meowscarada;Gry karciane/Pokémon;"PREMIERA  09.02.2024 DATA MOŻE ULEC ZMIANIE
Pokemon TCG Paldean Fates Premium Collection Meowscarada
Światło reflektorów pada na błyszczące Pokémony powracające do Pokémon TCG! Shiny Pikachu, Tinkaton, Ceruledge, Dondozo i ponad 100 innych wyjątkowych Pokémonów. Great Tusk i Iron Treads pojawią się jako wersje Ancient i Future ex. Dodatkowo Charizard, Forretress i Esparha popiszą się swoimi unikatowymi umiejętnościami jako Shiny Pokémon. Te i wiele więcej niespodzianek czeka na ciebie w najnowszym dodatku Scarlet & Violet—Paldean Fates!
Zawartość:
3x karty promo
1x karta wielko formatowa
8x boosterów
1x kod do gry online
1x magnetyczny protektor na 3 karty";126.01;1;1;https://magiccafe.eu/wp-content/uploads/2024/01/794b3b1ce41e6abbb55a08e9615b15c7.png
Pokemon TCG: Pokemon Go Gift Tin Pikachu;Gry karciane/Pokémon;"Pokemon TCG: Pokemon Go Gift Tin Pikachu
Zawartość:
1- kartę promo Pikachu,
1- kartę promo Pikachu,
4- boostery,
1- naklejki,
1- kod do gry online.";47.96;1;10;https://magiccafe.eu/wp-content/uploads/2023/07/3af1558af92aba774f75f62a409db78c.jpg
Pokemon TCG: Celebrations Mini Tins: Johto Starters Tin;Gry karciane/Pokémon;"Pokemon TCG: Celebrations Mini Tins: Johto Starters Tin
Z okazji 25-tej rocznicy powstania marki Pokémon, The Pokémon Company International ogłasza długo wyczekiwaną kolekcję Pokémon Trading Card Game: Celebrations. Seria ma upamiętnić milowy krok w historii gry, a sam dodatek przypomni nam ulubione karty, najciekawsze grafiki, a także mechanikę rozgrywki z całej historii Pokémon TCG. Wraz z dziewięcioma różnymi produktami, w Celebrations każdy fan i gracz bez wątpienia znajdzie coś ciekawego dla siebie.
Każdy Celebrations booster będzie zawierać cztery unikatowe karty foil, ze specjalnym logiem 25-lecia. Pula kart, dostępnych w tych specjalnych boosterach, będzie zawierać postacie ze wszystkich regionów uniwersum Pokémonów, od Pikachu po Zamazente. Będą też znajome twarze, takie jak chociażby profesor Oak. Celebrations wprowadzi też specjalny podzbiór 25 kart, które są niczym innym jak wznowieniami kultowych kart z historii gry karcianej Pokémon TCG, takich jak Base Set Charizard, Umbreon ☆, czy Tapu Lele-GX.";72.35;1;7;https://magiccafe.eu/wp-content/uploads/2023/06/8e941756d7411d9eb9e6d40041803c32.jpg
Pokémon TCG: Pikachu & Zekrom GX Premium Collection;Gry karciane/Pokémon;"Zawartość:
1x karta Gold Pikachu & Zekrom GX
1x kartę oversize Gold Pikachu & Zekrom GX
10x booster Pokemon TCG
1x kod do Pokemon TCG Online";227.63;1;5;https://magiccafe.eu/wp-content/uploads/2023/07/f17f5015b81073c5cc2ce100d6b68421.jpg
Pokémon TCG: Scarlet & Violet Obsidian Flames Premium Checklane Blister Kingambit;Gry karciane/Pokémon;"Planowana premiera 11 sierpnia 2023r.
Rozgrzany w pełni ogień rozjaśni najciemniejszą noc.
Mały ogień zapłonie w pełni razem z Charizard Ex !
Nową formę Terastal otrzymają  Tyranitar, Eiscue i Vespiquen. Z nową formą, otrzymają potężne moce, które pozwolą im wygrywać kolejne bitwy.
Typ Ex otrzyma również Dragonite, Greedent, Revavroom, Melmetal i wiele innych !
Te nowe potężne pokemony i wiele innych znajdziesz w kolejnym dodatku Scarlet & Violet—Obsidian Flames!
Kolejny dodatek to:
Ponad 190 nowych kart,
Kryształowy Tera Pokémon ex (w tym Charizard ex),
20 nowych Pokémon EX z nową mechaniką,
Ponad 15 kart trenerów,
Dziesiątki nowych kart ze wspaniałymi grafikami.";17.07;1;6;https://magiccafe.eu/wp-content/uploads/2023/06/367c0f8beb4ab52ea8d295c0a145df10.jpg
Pokemon TCG: TCG Classic 2023;Gry karciane/Pokémon;"Pokemon TCG: TCG Classic 2023
Zawartość:
3x gotowe 60 kartowe talie
3x pudełka
3x zestawy koszulek
1x plansza do gry
1x toolbox case z randomizer
2x zestawy znaczników obrażeń
2x zestawy znaczników stanu";1373.98;1;4;https://magiccafe.eu/wp-content/uploads/2024/01/03212b0fd1f481d8049317599a414a63.png
Pokémon TCG: Silver Tempest Build and Battle Stadium;Gry karciane/Pokémon;"Pokémon TCG: Silver Tempest Build and Battle Stadium
2x Build & Battle Box (w każdym po 4 boostery)
4x boostery (produkt zawiera łącznie 12 boosterów)
6x kości obrażeń
121x kart energii
1x moneta
2x akrylowe znaczniki
1x pudełko";160.97;1;0;https://magiccafe.eu/wp-content/uploads/2024/01/0abd0983823f3d4bb43172f0dff27cff.png
Pokémon TCG: Crown Zenith Mini Tin – zestaw (5);Gry karciane/Pokémon;"Pokémon TCG: Crown Zenith – Mini Tin – zestaw (5 puszek)
Jedna  puszka zawiera:
2-  boostery
1- Arkusz z naklejką";268.28;1;6;https://magiccafe.eu/wp-content/uploads/2023/07/f9db7e3830e4c38af4372d061562de41.webp
Pokémon TCG Scarlet & Violet Stellar Crown Tinkaton 3-Pack Blister;Gry karciane/Pokémon;"Premiera 13 września 2024r. Data może ulec zmianie.
Wyrusz w przygodę, która przebudzi wewnętrzną moc!
Zejdź do świata pod powierzchnią i odkryj prawdziwy potencjał zjawiska Terastal! Legendarny Pokémon Terapagos zajmuje tron, dołączając do Cinderace ex, Lapras ex i Galvantuli ex. Wszyscy dzierżą nowe, błyskotliwe moce jako Stellar Tera Pokémon ex. Nowo odkryty Hydrapple ex prowadzi jeszcze więcej Pokémonów ex do bitwy, a karty ACE SPEC nadal wprowadzają zamieszanie w grze Pokémon TCG: Scarlet & Violet—Stellar Crown !
Dodatek Stellar Crown zawiera łącznie:
• Ponad 170 kart
• Ponad tuzin nowych Pokémonów ex
• Więcej nowych kart ACE SPEC
• Ponad 20 kart Trenerów
• Ponad 30 kart Pokémonów i Trenerów ze specjalnymi ilustracjami";39.76;1;5;https://magiccafe.eu/wp-content/uploads/2024/09/5b0088472b95f75daef1215a93103d04.webp
Pokémon TCG: Paldean Fates  Tech Sticker Collection  Maschiff;Gry karciane/Pokémon;"PREMIERA 26.01.2024 DATA MOŻE ULEC ZMIANIE
Pokémon TCG: Paldean Fates  Tech Sticker Collection  Maschiff
Światło reflektorów pada na błyszczące Pokémony powracające do Pokémon TCG! Shiny Pikachu, Tinkaton, Ceruledge, Dondozo i ponad 100 innych wyjątkowych Pokémonów. Great Tusk i Iron Treads pojawią się jako wersje Ancient i Future ex. Dodatkowo Charizard, Forretress i Esparha popiszą się swoimi unikatowymi umiejętnościami jako Shiny Pokémon. Te i wiele więcej niespodzianek czeka na ciebie w najnowszym dodatku Scarlet & Violet—Paldean Fates!
Zawartość:
3x boostery Paldean Fates
1x karta promo shiny
1x duża naklejka";43.08;1;3;https://magiccafe.eu/wp-content/uploads/2024/01/1249ed0c7a3caabfa42cf9e5d35ce1fd.png
Pokémon TCG: Pokemon Go Mini Tin – Blissey;Gry karciane/Pokémon;"Pokémon TCG: Pokemon Go Mini Tin – Blissey
Zawartość:
– dwa boostery
– jedną monetę
– kartę Art z Pokémonem widocznym na danym pudełku";25.12;1;6;https://magiccafe.eu/wp-content/uploads/2023/06/66e437c89e3ce9c63bb8f2dc769db5c5.png
Pokémon TCG: Paldean Fates  Tech Sticker Collection  Greavard;Gry karciane/Pokémon;"PREMIERA 26.01.2024 DATA MOŻE ULEC ZMIANIE
Pokémon TCG: Paldean Fates  Tech Sticker Collection  Greavard
Światło reflektorów pada na błyszczące Pokémony powracające do Pokémon TCG! Shiny Pikachu, Tinkaton, Ceruledge, Dondozo i ponad 100 innych wyjątkowych Pokémonów. Great Tusk i Iron Treads pojawią się jako wersje Ancient i Future ex. Dodatkowo Charizard, Forretress i Esparha popiszą się swoimi unikatowymi umiejętnościami jako Shiny Pokémon. Te i wiele więcej niespodzianek czeka na ciebie w najnowszym dodatku Scarlet & Violet—Paldean Fates!
Zawartość:
3x boostery Paldean Fates
1x karta promo shiny
1x duża naklejka";43.08;1;8;https://magiccafe.eu/wp-content/uploads/2024/01/d142a2c90d171dece366b664a2432196.png
Pokémon TCG: Silver Tempest Booster;Gry karciane/Pokémon;"Pokémon TCG: Sword & Shield – Silver Tempest – Booster
Każdy booster zawiera 10 losowych kart oraz jedną kartę energii lub 1 znacznik VSTAR.
Dodatek Silver Tempest to:
ponad 190 nowych wzorów kart,
3 nowe Radiant Pokémon,
6 Pokémon Vstar,
15 Pokémon V oraz 1 Pokémon VMax,
30 kart z wyjątkowymi grafikami z motywem Galerii Trenerów,
więcej niż 15 kart trenerów.
Booster wysyłany losowo";16.25;1;4;https://magiccafe.eu/wp-content/uploads/2023/07/54f097eb1c957da97099af05800f8ad7.jpg
Pokemon TCG: Holiday Calendar 2022;Gry karciane/Pokémon;"Pokemon TCG: Holiday Calendar 2022
Zawartość:
8- kart foil
2- monety
2- arkusz naklejek
1-sidekick dangler
6-boosterów
6-fun pack
kod do gry online";168.28;1;6;https://magiccafe.eu/wp-content/uploads/2023/07/0cda065c78818d895cf68f8cad4e3789.jpg
Pokémon TCG: Pokemon Go Gift Tin Display (6);Gry karciane/Pokémon;"Pokémon TCG: Pokemon Go Gift Tin Display 6szt
Jeden puszka zawiera:
2- karty promo
4-boostery,
1- naklejki,
kod do gry online.
Zawartość Całego Display’a:
2-Pokémon TCG: Pokémon Go – TIN Box – Snorlax
2- Pokémon TCG: Pokémon Go – TIN Box – Pikachu
2- Pokémon TCG: Pokémon Go – TIN Box – Blissey";341.46;1;2;https://magiccafe.eu/wp-content/uploads/2023/07/78f381452646c5732bafeb29fb84213b.webp
Pokémon TCG: Premium tournament Collection Klara;Gry karciane/Pokémon;"Przywódca Drużyny Galactic, Cyrus, jest mistrzem manipulacji, zakłócając precyzyjne plany przeciwnika swoimi bezwzględnymi rozkazami!
Klara nie cofnie się przed niczym, by promować swoją karierę w muzyce pop!
Ta bezwzględna dwójka nie cofnie się przed niczym aby osiągnąć swoje cele. Czy wybierzesz bezwzględne rozkazy Cyrus czy niezwykłą wolę sukcesu Klary, te zestawy pomogą wygrać twoje bitwy.
Premium Tournament Collections to wspaniała okazja nie tylko uzupełnić swoją kolekcje kart ale również wyjątkowych akcesoriów dedykowanych.
Jeden zestaw zawiera:
1 pudełko na talię
1 full art promo
3 karty trenera
65 koszulek na karty
1 moneta
zestaw znaczników
7 boosterów
6 kostek obrażeń
1 kod do gry online";121.13;1;1;https://magiccafe.eu/wp-content/uploads/2023/06/6df5d921f98af865da0ce3f7baafd3af.jpg
Pokemon TCG: Brilliant Stars Build and Battle Stadium;Gry karciane/Pokémon;"Pokemon TCG: Brilliant Stars Build and Battle Stadium
Zawrtość:
2-  Build & Battle Boxes
1- karta promo (losowo 1 z 4 wzorów)
4- boostery
121- kart energii
6 -kości
1- moneta
2- akrylowe znaczniki stanów
1- box";164.22;1;7;https://magiccafe.eu/wp-content/uploads/2023/06/2bed9ae4ef7e45f81f5af63d91804748.png
Pokémon TCG: Premium Collection Dialga;Gry karciane/Pokémon;"Pokémon TCG: Premium Collection Dialga 
Zawartośc:
5- boosterów
2- karty promo
kartę wielkoformatową
pin
znacznik Vstar
kod do gry online";108.93;1;0;https://magiccafe.eu/wp-content/uploads/2023/07/09f6548e65fbfef00d4befcdf99ea909.png
Pokemon TCG: Hidden Potential Tin Rotom V;Gry karciane/Pokémon;"Pokemon TCG: Hidden Potential Tin Rotom V
Zawartość:
4- boostery
1- karta promo Rotom V
1- kod do gry Online";58.12;1;0;https://magiccafe.eu/wp-content/uploads/2023/07/53b5080df8aec9558b0560f51a34fcd1-1200x1475.jpg
Pokémon TCG: Celebrations Premium Figure Collection Pikachu VMAX;Gry karciane/Pokémon;"Pokémon TCG: Celebrations Premium Figure Collection Pikachu VMAX
Zawartość:
1- promo foil Pikachu Vmax
1- promo foil Pikachu V
1- figurka Pikachu
8- Celebrations booster packs
3- booster
1- kod dostępu do gry online";276.41;1;2;https://magiccafe.eu/wp-content/uploads/2023/06/6a9a79a7966fc533baff7d7fa5491db1.png
